a&f, always and forever
bmttveot, best mates till the very end of time
bmvp, be my valentine please
bn, been
bng, being
bnib, Brand new in Box
bnol, be nice or leave
bnr, banner
bo, body odour
bobw, Best of Both Worlds
boffum, Both of them
bogo, buy one get one
bogof, buy one get one free
bogsatt, bunch of guys sitting around the table
boi, boy
bol, Barking Out Loud
bonr, boner
boomm, bored out of my mind
bord, bored
bos, boss over shoulder
botoh, but on the other hand
bout, about
bovered, bothered
bowt, about
boxor, box
br, bathroom
brah, brother
brb, be right back
brbbrb, br right back bath room break
brbg2p, be right back, got to pee
brbigtp, be right back, i got to pee.
brbl, be right back later
brbmf, be right back mother f**ker
brbn2gbr, Be right back, I need to go to the bathroom
brbs, be right back soon
brbts, be right back taking s**t
brd, bored
brfb, be right f**king back
brgds, best regards
brh, be right here
brk, Break
bro, brother
bros, brothers
broseph, brother
brover, Brother
brt, be right there
bruh, brother
bruhh, Brother
bruv, brother
bruva, brother
bruz, brothers
bsod, blue screen of death
bsomn, blowing stuff out my nose
bsx, bisexual
bsxc, be sexy
bt, bit torrent
btb, by the by
btcn, Better than Chuck Norris
btd, bored to death
btdt, been there done that
btdtgtts, Been there, done that, got the T-shirt
btfl, beautiful
btm, bottom
btr, better
bttt, been there, tried that
bttyl, be talking to you later
btw, by the way
btwilu, by the way i love you
btwitiailwu, by the way i think i am in love with you
btwn, between
bty, back to you
bubar, bushed up beyond all recognition
bukket, bucket
buszay, busy
bw3, Buffalo Wild Wings
bwim, by which i mean
bwoc, Big Woman On Campus
bwpwap, back when Pluto was a planet
bwt, but when though
byak, blowing you a kiss
bykt, But you knew that
byob, Bring your own Beer
byoc, bring our own computer
byoh, bring your own high
byself, by myself
bytabm, beat you to a bloody mess
bz, busy
bzns, buisness
bzy, busy
bzzy, busy
c, see
c 2 c, cam to cam (webcams)
c&c, Command and Conquer
c'mon, Come On
c-p, sleepy
c/b, comment back
c/t, can't talk
c14n, canonicalization
c2, come to
c2tc, cut to the chase
c4ashg, care for a shag
c@, cat
cam, camera
cancer stick, cigarette
catwot, complete and total waste of time
cayc, call at your convenience
cb, come back
cba, can't be arsed
cbb, can't be bothered
cbi, can't believe it
ccl, Couldn't Care Less
ccna, Cisco Certified Network Associate
cd9, Code 9 (other people nearby)
celly, cell phone
cex, sex
cexy, sexy
cfas, care for a secret?
cfid, check for identification
cg, Congratulations
cgf, cute guy friend
ch@, chat
champs, champions
char, character
cheezburger, cheeseburger
chik, chick
chilax, chill and relax in one word
chillax, chill and relax
chillin, relaxing
chk, check
chohw, Come Hell or high water
chr, character
chronic, marijuana
chu, you
cid, consider it done
cig, cigarette
cigs, cigarettes
cihswu, can i have sex with you
cihyn, can i have your number
cing, seeing
cis, computer information science
ciwwaf, cute is what we aim for
cless, clanless
clm, Cool Like Me
clt, Cool Like That
cluebie, clueless newbie
cm, call me
cmar, cry me a river
cmb, comment me back
cmbo, combo
cmcp, call my cell phone
cmeo, crying my eyes out
cmh, Call My House
cmiiw, correct me if I'm wrong
cmitm, Call me in the morning
cml, call me later
cml8r, call me later
cmliuw2, call me later if you want to
cmn, call me now
cmomc, call me on my cell
cmon, Come on
cmplcdd, complicated
cmplte, complete
cmptr, computer
cms, content management system
cmt, comment
cmw, cutting my wrists
cn, can
cnc, Command and Conquer
cnt, can't
cob, close of business
cod, Call of Duty
cod4, call of duty 4
cod5, call of duty 5
codbo, Call of Duty: Black Ops
codbo2, Call of Duty: Black Ops II
code 29, moderator is watching
code 8, parents are watching
code 9, Parents are watching
code9, other people near by 
cof, Crying on the floor
coiwta, come on i wont tell anyone
col, crying out loud
comin', coming
comnt, comment
comp, Computer
compy, computer
congrats, congratulations
contrib, contribution
contribs, contributions
convo, conversation
coo, cool
cood, could
copyvio, copyright violation
cos, because
cotf, crying on the floor
cotm, check out this myspace
cowboy choker, cigarette
coz, because
cp, child porn
cpl, Cyber Athlete Professional League
cpm, cost per 1000 impressions
cptn, captain
cpu, computer
cpy, copy
cr, Can't remember
cr8, crate
crakalakin, happening
crazn, crazy asian
cre8or, creator
crm, customer relationship management
crp, crap
crunk, combination of crazy and drunk
crzy, crazy
cs, Counter-Strike
cs:s, Counter-Strike: Source
csi, Crime Scene Investigation
ctf, capture the flag
ctn, can't talk now
ctnbos, can't talk now boss over shoulder
ctncl, Can't talk now call later
ctpc, cant talk parent(s) coming
ctpos, Can't Talk Parent Over Sholder
ctrl, control
ctrn, can't talk right now
cts, change the subject
ctt, change the topic
cu, goodbye
cu2, see you too
cu2nit, see you tonight
cubi, can you believe it
cud, could
cul, see you later
cul83r, See  you later
cul8er, see you later
cul8r, See You Later
cul8tr, see you later
culd, Could
cuom, see you on monday
cuple, couple
curn, calling you right now
cut3, cute
cuwul, catch up with you later
cuz, because
cuzz, Because
cvq, chucking very quietly
cw2cu, can`t wait to see you
cwd, comment when done
cwm, come with me
cwmaos, coffee with milk and one sugar
cwot, complete waste of time
cwtgypo, can't wait to get your panties off
cwyl, chat with ya later
cy2, see you too
cya, goodbye
cyal, see you later
cyal8r, see you later
cyas, see you soon
cyb, cyber
cybl, call you back later
cybr, cyber
cye, Close Your Eyes
cyl, see you later
cyl8, see you later
cyl8er, see you later
cylbd, catch ya later baby doll
cylor, check your local orhtodox rabbi
cym, check your mail
cyntott, see you next time on Tech Today
cyt, see you tomorrow
cyu, see you
c|n>k, coffee through nose into keyboard
d&c, divide and conquer
d&df, drug & disease free
d.w, don't worry
d/c, disconnected
d/l, download
d/m, Doesn't Matter
d/w, don't worry
d00d, dude
d2m, dead to me
d2t, drink to that
d8, date
da, the
da2, Dragon Age 2
dadt, Don't ask. Don't tell.
dah, dumb as hell
daii, day
damhik, don't ask me how I know
damhikijk, Don't Ask Me How I Know - I Just Know
damhikt, don't ask me how I know this
dat, that
dats, that's
dawg, Friend
db, database
db4l, drinking buddy for life
dbafwtt, Don't Be A Fool Wrap The Tool
dbeyr, don't believe everything you read
dbg, don't be gay
dbh, don't be hating
dbi, Don't Beg It
dbm, don't bother me
dbz, DragonBall Z
dc, don't care
dc'd, disconnected
dctnry, dictionary
dd, don't die
ddf, Drug and Disease Free
ddg, Drop Dead Gorgeous
ddl, direct download
ddos, Distributed Denial of Service
ddr, dance dance revolution
ded, Dead
deets, details
deez, these
def, definitely
defs, definetly
degmt, Don't Even Give Me That
dem, them
der, there
dernoe, I don't know
detai, don't even think about it
dewd, Dude
dey, they
dftba, don't forget to be awesome
dftc, down for the count
dfw, down for whatever
dg, don't go
dga, don't go anywhere
dgac, don't give a crap
dgms, Don't get me started
dgoai, don't go on about it
dgt, don't go there
dgypiab, don't get your panties in a bunch
dh, dickhead
dhac, Don't have a clue
dhcp, Dynamic Host Configuration Protocol
dhly, does he like you
dhv, Demonstration of Higher Value
diacf, die in a car fire
diaf, die in a fire
diah, die in a hole
dic, do i care
diez, dies
diff, difference
diku, do i know you
diky, Do I know you
dil, Daughter in law
dillic, Do I look like I care
din, didn't
din't, didn't
dirl, Die in real life
dis, this
dit, Details in Thread
diy, do it yourself
dju, did you
dk, don't know
dkdc, don't know, don't care
dl, download
dlf, dropping like flies
dlibu, Dont let it bother you
dln, don't look now
dm, deathmatch
dmaf, do me a favor
dmi, don't mention it
dmu, don't mess up
dmwm, don't mess with me
dmy, don't mess yourself
dn, don't know
dnd, Do Not Disturb
dndp, Do not double post
dno, don't know
dnrta, did not read the article
dnrtfa, did not read the f**king article
dns, Domain Name System
dnt, don't
dnw, Do not want
doa, dead on arrival
dob, date of birth
dod, Day of Defeat
dogg, friend
doin, doing
doin', doing
don, denial of normal
doncha, Don't you
donno, don't know
dont, don't
dontcha, don't you
dood, dude
doodz, dudes
dos, denial of service
dotc, dancing on the ceiling
doypov, depends on your point of view
dp, display picture
dpmo, don't piss me off
dprsd, depressed
dqmot, don't quote me on this
dqydj, don't quit your day job
dr00d, druid
drc, don't really care
drm, dream
drood, druid
dsided, decided
dsu, don't screw up
dt, double team
dta, Don't Trust Anyone
dtb, don't text back
dth, down to hang
dtl, d**n the luck
dtp, Don't Type Please
dtrt, do the right thing
dts, Don't think so
dttm, don't talk to me
dttml, don't talk to me loser
dttpou, Don't tell the police on us
dttriaa, don't tell the RIAA
du2h, d**n you to hell
ducy, do you see why
dugi, do you get it?
dugt, did you get that?
duk, did you know
dulm, do you like me
dum, dumb
dun, don't
dunna, i don't know
dunno, I don't know
duno, don't know
dupe, duplicate
dutma, don't you text me again
dw, don't worry
dwai, don't worry about it
dwb, Driving while black
dwbh, don't worry, be happy
dwbi, Don't worry about it.
dwi, deal with it
dwioyot, Deal With It On Your Own Time
dwmt, don't waste my time
dwn, down
dwt, don't wanna talk
dwud, do what you do
dwy, don't wet yourself
dya, Do you
dycotfc, do you cyber on the first chat
dyec, Don't You Ever Care
dygtp, did you get the picture
dyk, did you know
dylh, do you like him
dylm, do you love me
dym, Do you mind
dymm, do you miss me
dynk, do you not know
dynm, do you know me
dyt, Don't you think
dyw, don't you worry
dyw2gwm, do you want to go with me
dywtmusw, do you want to meet up some where
e-ok, Electronically OK
e.g., example
e4u2s, easy for you to say
eabod, eat a bag of dicks
ebitda, earnings before interest, taxes, depreciation and amortization
ecf, error carried forward
edumacation, education
eedyat, idiot
eejit, idiot
efct, effect
efffl, extra friendly friends for life
eg, evil grin
ehlp, help
eil, explode into laughter
el!t, elite
eleo, Extremely Low Earth Orbit
ello, hello
elo, hello
em, them
emm, email me
emo, emotional
emp, eat my p***y
enat, every now and then
enit, isn't  it
enof, enough
enuf, enough
enuff, enough
eob, End of Business
eoc, end of conversation
eod, End of day
eof, end of file
eom, end of message
eos, end of story
eot, end of transmission
eotw, end of the world
epa, Emergency Parent Alert
eq, Everquest
eq2, Everquest2
ere, here
errythin, everything
esbm, Everyone sucks but me
esc, escape
eta, Estimated Time of Arrival
etla, extended three letter acronym
etmda, Explain it to my dumb a**
etp, eager to please
eula, end user license agreement
ev1, everyone
eva, ever
evaa, ever
evar, ever
evercrack, Everquest
every1, everyone
evn, even
evr, ever
evry, every
evry1, every one
evrytin, everything
ex-bf, Ex-Boy Friend
ex-gf, Ex-Girl Friend
exp, experience
ey, hey
eyez, eyes
ez, Easy
ezi, easy
f&e, forever and ever
f.b., facebook
f2f, face to face
f2m, female to male
f2p, free to play
f2t, Free to talk
f4c3, face
f4eaa, friends forever and always
f4f, female for female
f4m, female for male
f8, fate
f9, fine
f@, fat
faa, forever and always
fab, fabulous
faggit, faggot
fah, Funny as hell
faic, For All I Care
fam, family
fankle, area between foot and ankle
fao, for attention of
faq, frequently asked question
fashizzle, for sure
fav, Favorite
fave, favorite
fbk, facebook
fbtw, Fine Be That Way
fc, fruit cake
fcbk, facebook
fcfs, first come first served
fcol, for crying out loud
fe, fatal error
feat, Featuring
fer, for
ferr, For
ff, friendly fire
ffa, free for all
ffr, for future reference
fft, food for thought
ffxi, Final Fantasy 11
fgs, for God's sake
fgssu, For Gods sake shut up
fi9, fine
fifo, first in, first out
fify, Fixed It For You
fimh, forever in my heart
fio, figure it out
fitb, fill in the blank
fiv, five
fka, formerly known as
flamer, angry poster
flames, angry comments
flicks, pictures
floabt, for lack of a better term
fmi, for my information
fmir, family member in room
fn, first name
fnar, For No Apparent Reason
fnci, fancy
fnny, funny
fnpr, for no particular reason
fny, funny
fo shizzle, for sure
fo sho, for sure
foaf, friend of a friend
fob, fresh off the boat
foia, freedom of information act
folo, Follow
fone, phone
foo, fool
for sheeze, for sure
foshizzle, for sure
fosho, for sure
foss, free, open source software
fotm, Flavour of the month
fov, Field of View
fo`, for
fp, first post
fps, First Person Shooter
frag, kill
fragged, killed
fren, friend
frens, friends
frgt, forgot
fri., Friday
friggin, freaking
frk, freak
frm, from
frnd, friend
frnds, friends
fs, For Sure
fsho, for sure
fsm, flying spaghetti monster
fsod, frosn screen of death
fsr, for some reason
fst, fast
ft2t, From time to time
fta, From The Article
ftbfs, Failed to build from source
ftf, face to face
ftfy, Fixed that for you
ftio, fun time is over
ftk, For the Kill
ftl, For The Lose
ftlog, for the love of god
ftlt, For the last time
ftmfw, for the mother f**king win
ftmp, For the most part
ftp, file transfer protocol
ftr, For The Record
fttp, for the time being
ftw, For the win!
fud, fear, uncertainty and doubt
fuhget, forget
fulla, Full of
funee, funny
funner, more fun
funy, funny
fwb, Friends with Benefits
fwd, forward
fwiw, for what it's worth
fwm, Fine With Me
fwob, friends with occasional benefits
fwp, first world problems
fxe, foxy
fxp, file exchange protocol
fya, for your attention
fye, For Your Entertainment
fyeo, For your eyes only
fyi, for your information
fyk, for your knowledge
fyl, For your Love
fyp, fixed your post
g'nite, good night
g/f, girlfriend
g/g, got to go
g0, go
g00g13, Google
g1, good one
g2, go to
g2/-/, go to hell
g2bg, got to be going
g2bl8, going to be late  
g2cu, glad to see you
g2e, got to eat
g2g, got to go
g2g2tb, got to go to the bathroom
g2g2w, got to go to work
g2g4aw, got to go for a while
g2gb, got to go bye
g2gb2wn, got to go back to work now
g2ge, got to go eat
g2gn, got to go now
g2gp, got to go pee
g2gpc, got 2 go parents coming
g2gs, got to go sorry
g2h, go to hell
g2k, good to know
g2p, got to pee
g2t2s, got to talk to someone
g3y, gay
g4u, good for you
g8, gate
g9, good night
g@y, gay
ga, go ahead
gaalma, go away and leave me alone
gafi, get away from it
gafm, Get away from me
gagp, go and get pissed
gai, gay
gaj, get a job
gal, get a life
gamez, illegally obtained games
gangsta, gangster
gank, kill
gaoep, generally accepted office etiquette principles
gaw, grandparents are watching
gawd, god
gb, Go back
gb2, go back to
gba, game boy advance
gbnf, Gone but not forgotten 
gbtw, go back to work
gbu, god bless you
gby, good bye
gcad, get cancer and die
gcf, Google Click Fraud
gd, good
gd&r, grins, ducks, and runs
gd4u, Good For You
gday, Good Day
gdby, good bye
gded, grounded
gdgd, good good
gdiaf, go die in a fire
gdih, Go die in hell
gdr, grinning, ducking, running
gemo, gay emo
getcha, get you
geto, ghetto
gewd, good
gey, gay
gf, girlfriend
gfak, go fly a kite
gfar2cu, go find a rock to crawl under
gfe, Girl Friend experience
gfe2e, grinning from ear to ear
gfl, grounded for life
gfx, graphics
gfy, good for you
gg, good game
gga, good game all
ggal, go get a life
ggg, Go, go, go! 
ggi, go google it
ggnore, good game no rematch
ggp, gotta go pee
ggpaw, gotta go parents are watching
ggs, good games
gh, good half
ghei, Gay
ghey, gay
gigig, get it got it good
gigo, garbage in garbage out
gim, google instant messanger
gimme, give me
gir, google it retard
gis, Google Image Search
gitar, guitar
giv, give
giyf, google is your friend
gj, good job
gjial, go jump in a lake
gjp, good job partner
gjsu, god just shut up
gjt, good job team
gky, Go kill yourself
gkys, Go kill yourself
gl, good luck
gl hf, good luck, have fun
gl&hf, good luck and have fun
gla, good luck all
glbt, Gay, lesbian, bisexual, transgenderd
glf, group looking for
glhf, good luck have fun
glln, Got Laid Last Night
glnhf, Good Luck and Have Fun
glty, Good luck this year
glu, girl like us
glu2, good luck to you too
glux, good luck
glwt, good luck with that
gm, good morning
gma, grandma
gmab, give me a break
gmod, Global Moderator
gmta, great minds think alike
gmtyt, good morning to you too
gmv, Got my vote
gmybs, give me your best shot
gn, good night
gn8, good night
gnasd, good night and sweet dreams
gndn, Goes nowhere,does nothing
gnfpwlbn, good news for people who love bad news
gng, going
gng2, going to
\gnight, good night
gnite, good night
\gno, going to do
gnr, Guns n' roses
\gnst, goodnight sleep tight
gnstdltbbb, good night sleep tight don't let the bed bugs bite
goc, get on camera
goi, get over it 
goia, get over it already
goin, going
gok, God Only Knows
gokid, got observers - keep it decent
gokw, God Only Knows Why
gol, giggle out loud
gomb, get off my back
goml, get out of my life
gona, Gonna
gonna, going to
good9, goodnite
gooh, get out of here!
goomh, get out of my head
gork, God only really knows
gotc, get on the computer
gotcha, got you
gotta, got to
gow, gears of war
goyhh, get off your high horse
gp, good point
gpb, gotta pee bad
gpwm, good point well made
gpytfaht, gladly pay you tuesday for a hamburger today
gr8, great
gr8t, great
grats, congratulations
gratz, congratulations
grfx, graphics
grillz, metal teeth
grl, girl
grmbl, grumble
grog, beer
grrl, Girl
grtg, Getting ready to go
grvy, groovy
gsave, global struggle against violent extremists
gsi, go suck it
gsoh, Good Sense of Humor
gsta, Gangster
gt, get
gta, Grand Theft Auto
gtb, Go To Bed
gtg, got to go
gtgb, got to go bye
gtgbb, got to go bye bye
gtgfn, got to go for now
gtglyb, got to go love you bye
gtgmmiloms, got to go my mum is looking over my shoulder
gtgn, got to go now
gtgp, got to go pee
gtgpp, got to go pee pee
gtgtb, got to go to bed
gtgtpirio, got to go the price is right is on
gtgtwn, Got to go to work now
gth, go to hell
gtha, go the hell away
gtho, get the hell out
gthu, grow the heck up
gtk, good to know
gtm, giggling to myself
gtn, getting
gtp, Got to pee
gtr, Got to run
gts, going to school
gtsy, good to see you
gttp, get to the point
gtty, good talking to you
gu, grow up
gu2i, get used to it 
gud, good
gudd, good
gui, graphical user interface
gurl, girl
gurlz, girls
guru, expert
gw, good work
gwijd, guess what i just did
gwm, gay white male
gwork, good work
gwrk, good work
gws, get well soon
gwytose, go waste your time on someone else
gy, gay
gyal, girl
h&k, hugs and kisses
h*r, homestar runner
h+k, hugs and kisses
h.o, hold on
h/e, However
h/mo, homo
h/o, hold on
h/u, hold up
h/w, homework
h2, Halo 2
h2gtb, have to go to the bathroom
h2o, water
h2sys, hope to see you soon
h3y, hey
h4kz0r5, hackers
h4x, Hacks
h4x0r, hacker
h4xor, hacker
h4xr, hacker
h4xrz, hackers
h4xx0rz, hacker
h4xxor, hacker
h8, hate
h80r, hater
h82sit, hate to say it
h83r, hater
h8ed, hated
h8er, hater
h8r, hater
h8red, Hatred
h8s, hates
h8t, hate
h8t0r, hater
h8t3r, hater
h8te, hate
h8tr, hater
h8u, I Hate You
h9, Husband in Room
habt, how about this
hafta, have to
hagd, have a good day
hagl, have a great life
hagn, have a good night
hago, have a good one
hags, have a great summer
hai, hello
hait, hate
hak, here's a kiss
hammrd, hammered
han, how about now
hau, How Are You
hav, have
havnt, haven't
hawf, Husband and Wife forever
hawt, hot
hawtie, hottie
hax, Hacks
hax0r, hacker
hax0red, hacked
hax0rz, Hackers
haxer, Hacker
haxor, hacker
haxoring, hacking
haxors, hackers
haxorz, hackers
haxxor, hacker
haxxzor, Hacker
haxz0r, Hacker
haxzor, hacker
hayd, how are you doing
hb, hurry back
hb4b, hoes before bros
hbd, happy birthday
hbic, head b***h in charge
hbii, how big is it
hbu, how about you
hby, how about you
hc, how come
hcbt1, he could be the one
hcib, how can it be
hcihy, how can I help you
hdop, Help Delete Online Predators
hdu, how dare you
hdydi, How do you do it
hdydt, how did you do that
heh, haha
hella, very
heya, hey
heyt, hate
heyy, hello
heyya, hello
hf, have fun
hfwt, have fun with that
hg, HockeyGod
hght, height
hhiad, holy hole in a doughnut
hhiadb, Holy Hole in a Donut Batman
hhok, Ha Ha Only Kidding
hhyb, how have you been
hi2u, hello
hi2u2, hello to you too
hiet, height
hiik, Hell If I Know
hijack, start an off topic discussion
hith, how in the hell
hiw, husband is watching
hiya, hello 
hiybbprqag, copying somebody else's search results
hj, hand job
hl, Half-Life
hl2, Half-Life 2
hla, Hot lesbian action
hld, hold
hldn, hold on
hldon, hold on
hll, Hell
hlm, he loves me
hlo, hello
hlp, help
hly, holy
hmb, hold me back
hmewrk, homework
hml, hate my life
hmoj, holy mother of jesus
hmu, Hit Me Up
hmul, Hit me up later
hmus, Hit me up sometime
hmw, homework
hmwk, homework
hmwrk, Homework
hng, horny net geek
hngry, hungry
ho, hold on
hoas, Hang on a second
hoay, how old are you
hoh, head of household
hom, home
homey, Friend
homie, good friend
homo, homosexual
hoopty, broke down automobile
hott, hot
howdey, hello
howz, hows
hppy, Happy
hpy, happy
hpybdy, happy birthday
hr, hour
hre, here
hrny, horny
hrs, hours
hru, how are you
hrud, how are you doing
hs, headshot
hsd, high school dropout
hsik, how should i know
hsr, homestar runner
ht, Heard Through
htc, hit the cell
hth, hope that helps
hthu, Hurry the hell up
htr, hater
http, hyper text transfer protocol
hu, Hey you
hubby, husband
hud, Heads Up Display
huggle, hug and cuddle
hugz, hugs
hun, honey
hv, have
hve, have
hvnt, haven't
hw, homework
hw/hw, help me with homework 
hwg, here we go
hwga, here we go again
hwik, how would i know
hwk, homework
hwmbo, he who must be obeyed
hwmnbn, he who must not be named
hwms, hot wild monkey sex
hwu, hey what's up
hwz, how is
hxc, hardcore
hy, hell yeah
hyb, how you been
hyg, here you go
hyk, how you know
i <3 u, I love you
i c, i see
i8, alright
i8u, i hate you
i<3 u, i love you
i<3u, I love you
iab, I Am Bored
iafi, I am from India
iag, it's all good
iai, i am interested
ianabs, I am not a brain surgeon
ianacl, I am not a copyright lawyer
ianal, I am not a lawyer
ianalb, I am not a lawyer, but..
ianars, I am not a rocket scientist
ians, I am Not Sure
ianyl, I am not your lawyer
iasb, i am so bored
iaspfm, i am sorry please forgive me
iatb, I am the best
iateu, i hate you
iavb, i am very bored
iaw, In Another Window
iawtc, I agree with this comment
iawtp, I agree with this post
iawy, I agree with you
ib, I'm back
ibbl, I'll be back later
ibcd, Idiot between chair & desk
ibt, I'll be there
ibtl, In Before The Lock
ibw, I'll be waiting
ic, I see
icb, I can't believe
icbi, i can't believe it
icbiwoop, I chuckled, but it was out of pity.
icbt, i can't believe that
icbu, I can't believe you
icbyst, i cant believe you said that
iccl, I could care less
icgup, I can give you pleasure
icic, I See. I See
icp, insane clown posse
icr, I can't rememer
icsrg, I can still reach Google
ictrn, I can't talk right now
icty, i can't tell you 
icu, i see you
icudk, in case you didn't know
icw, I care why?
icwudt, I see what you did there
icwum, I see what you mean
icydk, in csae you didn't know
icydn, in case you didn't know
icymi, in case you missed it
id10t, idiot
idbtwdsat, I don't believe they would do such a thing
idby, I Don't Believe You
idc, I don't care
iddi, I didn't do it
idec, I don't even care
idek,  I don't even know
idgac, i don't give a crap
idgi, I don't get it
idjit, idiot
idk, I don't know
idkbibt, I don't know but I've Been Told
idke, I don't know ethier
idkh, I don't know how
idkh2s, i don't know how to spell
idkt, I don't know that
idkw, I don't know why
idkwiwdwu, I don't know what I would do without you
idkwts, I don't know what to say
idkwurta, I don't know what you are talking about.
idkwym, I don't know what you mean
idky, I don't know you
idkyb, i don't know why but
idkymb2, I didn't know yoru mom blogs too
idl, I don't like
idli, I don't like it
idlu, i don't like you
idly, I don't like you
idlyitw, i don't like you in that way
idm, I don't mind
idmhw, im doing my homework
idn, i don't know
idnk, i don't know
idno, i do not know
idntk, i dont need to know
idnwths, i do not want to have sex
idonno, i do not know
idop, it depends on price
idot, idiot
idr, I don't remember
idrc, i don't really care
idrk, i don't really know
idrts, I don't really think so
idsw, i don't see why
idtis, I don't think I should
idtkso, i don't think so
idts, i don't think so
idunno, i do not know
iduwym, I don't understand what you mean.
idw2, I don't want to
idw2n, i don't want to know
idwk, I don't wanna know
idwt, i don't want to
idwtg, I don't want to go
idyat, idiot
iebkac, issue exists between keyboard and chair
ietf, internet engineering task force
iff, if and only if
ifthtb, i find that hard to belive
ifttt, if this then that 
ifwis, I forgot what I said
ig, I guess
ig2g, I got to go
ig5oi, I got 5 on it 
igg, i gotta go
ight, alright
igs, I guess so
igt, I Got This
igtg, i've got to go
igtgt, I got to go tinkle
igu, i give up
