a$$, a**
idgaff, I don't give a flying f**k
idgafs, I don't give a f**king s**t
idgara, I don't give a rat's a**
idgas, i don't give a s**t
idnwths, i do not want to have sex
idrfk, I don't really f**king know
idrgaf, I don't really give a f**k
idrgaff, i don't really give a flying f**k
ifhu, I f**king hate you
ifhy, i f**king hate you
ifk, I f**king know
iflu, i f**king love you
igahp, I've got a huge penis
igkymfa, I'm gonna kick your mother f**king a**
igtkya, im going to kick your a**
ih2p, i'll have to pa**
ihnfc, I have no f**king clue
ihtfp, I hate this f**king place
ihusfm, i hate you so f**king much
ilk2fku, I would like to f**k you
iltf, i love to f**k
ilusfm, I love you so f**king much
ilyb, i love you b***h
ilysfm, i love you so f**king much
ilysfmb, i love you so f**king much baby
imfao, In My f**king Arrogant Opinion
imfo, in my f**king opinion
imnshmfo, In My Not So Humble Mother f**king Opinion
imysfm, i miss you so f**king much
isfly, i so f**king love you
iw2f, i want to f**k
iw2fu, i want to f**k you
iwfusb, i wanna f**k you so bad
iwfy, I want to f**k you
iwfybo, i will f**k your brains out
iws, i want sex
iwsn, i want sex now
iwtfu, i want to f**k you
iwtfy, i want to f**k you
iwthswy, i want to have sex with you
jdfi, Just f**king do it
jeomk, Just ejaculated on my keyboard
jfc, Jesus f**king Christ
jfdi, Just f**king Do It!
jfgi, just f**king google it
jfk, Just f**king kidding
jfo, just f**k off
jfwy, just f**king with you
jgtfooh, just get the f**k out of here
jtfo, joke the f**k out
jyfihp, jam your finger in her p***y
ka, Kick a**
kafn, kill all f**king noobs
kaw, kick a** work
kma, kiss my a**
kmag, kiss my a** goodbye
kmao, kick my a** off
kmfa, kiss my f**king a**
kmhba, kiss my hairy big a**
knn, f**k your mother
kots, keep on talking s**t
ktfo, knocked the f**k out
kyag, Kiss Your a** Goodbye
kyfag, kiss your f**king a** goodbye
lamf, like a motherf**ker
lasb, Lame a** Stupid b***h
lfl, let's f**k later
lfp, looking for p***y
lgbnaf, lets get butt naked and f**k
lhao, laughing her a** off
lhs, lets have sex
lhsrn, let's have sex right now
lifo, last in first out
ligaff, like I give a flying f**k
ligafs, like I give a flying s**t
ligas, like I give a s**t
lim, Like it Matters
limh, laugh in my head
liol, laugh insanely out loud
lirl, laughing in real life
liu, Look It Up
liyf, laughing in your face
lj, live journal
llab, Laughing like a b***h.
llap, live long and prosper
llc, laughing like crazy
llf, laugh like f**k
llh, laughing like hell
llol, literally laughing out loud
lltnt, live like theres no tomorrow 
lm4aq, Let's meet for a quickie.
lma, leave me alone
lmamf, leave me alone mother f**ker
lmao, laughing my a** off
lmaol, laughing my a** out loud
lmaomtoaoa, Laugh my a** off many times over and over again
lmaonade, laughing my a** off
lmaool, laughing my a** off out loud 
lmaootf, Laughing my a** off on the floor 
lmaorof, Laughing my a** off Rolling on the floor
lmaorotf, laughing my a** off rolling on the floor
lmaowrotf, Laughing my a** of while rolling on the floor
lmaowtntpm, laughing my a** off whilst trying not to piss myself
lmaoxh, laughing my a** off extremely hard
lmap, leave me alone please
lmb, lick my balls
lmbao, laughing my black a** off
lmbfwao, laughing my big fat white a** off
lmbo, laughing my butt off
lmcao, laughing my crazy a** off
lmclao, laughing my cute little a** off
lmd, Lick My d**k
lmfao, laughing my f**king a** off
lmfbo, laugh my f**king butt off
lmffao, laughing my f**king fat a** off
lmffo, Laughing my f**king face off
lmfho, laughing my f**king head off
lmfo, laughing my face off
lmfpo, laughing my f**king p***y off
lmfto, laughing my f**kin tits off
lmg, let me guess
lmgdao, Laughing My God d**n a** Off
lmgtfy, Let me Google that for you
lmhao, laughing my hairy a** off
lmho, laughing my heiny off
lmip, LETS MEET IN PERSON
lmirl, Let's meet in real life
lmk, let me know
lmks, Let Me Know Soon
lmkwut, let me know what you think
lml, love my life
lmmfao, laughing my mother f**king a** off
lmmfaos, laughing my mother f**king a** off silly
lmmfas, laugh my mother f**kin a** off
lmmffao, laughing my mother f**king fat a** off
lmo, Leave Me One
lmoao, Laughing my Other a** Off
lmp, lick my p***y
lmpo, laughing my panties off
lms, leave me some
lmsao, laughing my sexy a** off
lmso, laughing my socks off
lmtfa, leave me the f**k alone
lmto, laughing my tits off
lmtus, let me tell you something
lmty, laughing more than you
lmvo, laugh my vagina off
lobfl, Laugh Out Bloody f**king Loud
lobl, laugh out bloody loud
lof, Laughing on floor
lofl, laugh out f**king loud
loflmao, laying on floor laughing my a** off
loi, laughing on the inside
lol, laughing out loud
lol'd, laughed out loud
lol2u, Laugh out loud to you
lol@u, Laugh out loud at you
lolarotf, laughing out loud and rolling on the floor
lolaw, laugh out loud at work
lolbs, laugh out loud but seriously
lolcano, laugh out loud
lolci, laughing out loud, crying inside
lolcity, the whole city laughs out loud
lold, laughed out loud
lolees, laugh out loud
lolerz, laugh out loud
lolf, lots of love forever
lolin, laughing out loud
lolio, laugh out loud I own
lollam, Laughing Out Loud Like A Maniac
lollercaust, an extreme event of hilarity
lollercoaster, laugh out loud (a lot)
lollerskates, laughing out loud
lolm, laugh out loud man
loln, laught out loud... not
lolngs, laghing out loud never gonna stop
lolocost, laugh out loud
lolol, saying 
lololz, laugh out loud
lolpimp, Laughing out loud peeing in my pants
lolq, laugh out loud quietly
lolrof, Laughing out loud while rolling on the floor.
lolrotf, laughing out loud rolling on the floor
lols, laugh out loud 
lolvq, laugh out loud very quietly
lolwtime, laughing out loud with tears in my eyes
lolz, laugh out loud
lomg, like oh my god
loml, love of my life
lomy, love of my life
loomm, laughing out of my mind
lorl, laugh out real loud
lorrl, laugh out really really loud
lotf, laughing on the floor
loti, laughing on the inside
loto, laughing on the outside
lovu, love you
loxen, laughing out loud
loxxen, laughing out loud
lpb, low ping b*****d
lpiaw, Large Penis is always welcome
lpms, life pretty much sucks
lq, Laughing Quietly
lq2m, laughing quietly to myself
lqtm, Laugh quietly to myself
lqtms, Laughing quietly to myself
lqts, laughing quietly to self
lrfl, Laughing really f**king loud
lrh, laughing really hard
lrqtms, laughing really quietly to myself
lsfw, Less Safe For Work
lshic, laughing so hard i'm crying
lshid, laugh so hard i die
lshifabmh, Laughing so hard I fell and broke my hip
lshipmp, Laughing so Hard I Piss My Pants
lshismp, laughed so hard I s**t my pants
lshiwms, laughing so hard I wet myself
lshmson, laughing so hard milk shot out nose
lshrn, laughing so hard right now
lsmih, laughing so much it hurts
lthtt, laughing too hard to type
ltip, laughting until I puke
ltm, listen to me
ltmq, Laugh To Myself Quietly
ltms, Laughing to my self
ltnsoh, Long time, no see or hear
ltnt, long time no talk
ltp, Lay the pipe
lttpot, laughing to the point of tears
ltw, Lead The Way
ltywl, love the way you lie
lu2, love you too
lu2d, love you to death
lu4l, love you for life
lub, laugh under breath
lul, love you lots
lulab, Love you like a brother
lulas, Love You Like a Sister
lulz, Laughing out loud.
lumumi, Love you miss you mean it
lurker, one who reads but doesn't reply
lurve, love
ly, love you
ly2, love you to
lya, love you always
lyaab, Love you as a brother
lyaaf, Love you as a friend
lyao, laugh your a** off
lybo, laugh your butt off
lyfao, laughing your f**king a** off
lyl, love you lots
lylab, love you like a brother
lylaba, love you like a brother always
lylad, love you like a dad
lylafklc, love you like a fat kid loves cake
lylam, love you like a mom
lylas, I love you like a sister
lylasa, love you like a sister always
lylno, Love you like no other
lyls, love you lots
lymi, love you mean it
lysfm, love you so f**king much
lysm, love you so much
lyt, love you too
lyvm, love you very much
mao, my a** off
masterb8, masterbate
mastrb8, masturbate.
mb, my bad
mbf, my best friend
mbfal, my best friend and lover
mbhsm, My Boobs Hurt So Much
mbl8r, Maybe Later
meatcurtain, woman's private parts
mf, motherf**ker
mf2f4sx, meet face to face for sex
mfa, mother f**king a**h**e
mfah, motherf**king a**h**e
mfao, my f**king a** off
mfb, mother f**king b***h
mfer, motherf**ker
mfkr, motherf**ker
mflfs, married female looking for sex
mfr, motherf**ker
mfw, my face when
mgiwjsdchmw, my girlfriend is watching jeff so don't call her my wife
milf, Mom i'd like to f**k
miltf, Mom I'd like to f**k
miq, make it quick
mir, mom in room
mirl, meet in real life
miw, mom is watching
miwnlf, mom I would not like to f**k.
mk, mmm....ok
mle, emily
mlia, my life is amazing
mlod, mega laugh out loud of doom
mlp, my little pony
mmamp, Meet me at my place
mmas, meet me after school
mmatc, meet me around the corner
mmatp, meet me at the park
mmbocmb, message me back or comment me back
mmd, make my day
mmiw, my mom is watching
mmk, umm, ok
mml, making me laugh
mml8r, meet me later
mmlfs, married man looking for sex
mmt, meet me there
mmtyh, My mom thinks you're hot
mmw, making me wet
mnt, More next time
mobo, motherboard
mofo, mother f**ker
moobs, man boobs
mos, mom over shoulder
moss, member of same sex
motarded, more retarded
motd, message of the day
motos, member of the opposite sex
mpaw, my parents are watching
mpbis, most popular boy in school
mpgis, most popular girl in school
mpih, my penis is hard
mpty, more power to you
msf, male seeking female
msh, Me so horny
msibo, my side is busting open
msmd, monkey see - monkey do
mstrb8r, masturbator
mtherfker, mother f**ker
mthrfkr, mother f**ker
mtrfkr, motherf**ker
mwsmirl, maybe we should meet in real life
myaly, miss you and love you
myfb, mind your f**king business
myke, man-dyke
myodb, mind your own d**n business
myofb, mind your own f**king business
mypl, my young padawan learner
n00dz, nudes
n2p, need to pee
nafkam, Not Away From Keyboard Any More
naft, Not A f**king Thing
naw-t, Naughty
nbf, never been f**ked
ncs, no crap sherlock
nekkid, naked
nfc, no f**king clue
nfd, no f**king deal
nff, not f**king fair
nfi, no f**king idea
nfr, not for real
nfs, not for sale
nft, no further text
nfw, no f**king way
ngaf, nobody gives a f**k
ni994, n***a
nifoc, naked in front of computer
nifok, naked in front of keyboard
nigysob, now I've got you son of a b***h
nimby, not in my backyard
nips, nipples
nizzle, n****r
nmfp, not my f**king problem
nmjfa, nothing much, just f**king around
nmnhnlm, no money, no honey, nobody loves me
noc, naked on camera
noodz, nude pictures
nookie, sex
norwich, knickers off ready when I come home
noygdb, none of your god d**n business
np4np, naked pic for naked pic
nsa, No Strings Attached
nsas, No Strings Attached Sex
nsfu, no sex for you
nsfw, not safe for work
nss, no s**t sherlock
ntigaf, not that i give a f**k
nts, note to self
ntstt, not safe to talk 
ntt, need to talk
ntta, nothing to talk about 
nttawwt, Not that there is anything wrong with that
nttiawwt, Not that there is anything wrong with that.
ntty, nice talking to you
ntw, not to worry
ntxt, no text
nty, no thank you
noub, none of your business
nowai, No way
nowin, knowing
noyb, none of your business
np, no problem
npgf, no problem girl friend
nph, no problem here
npi, no pun intended
nr4u, not right for you
ntbn, no text-back needed
ntmu, nice to meet you
ntmy, nice to meet you
nvmdt, never mind then
nvmt, nevermind that
nw, no way
nwb, a new person
nwih, no way in hell
nwj, No Way Jose
nwrus, no way are your serious 
nws, not work safe
nwtf, now what the f**k
nyf, not your fault
nyp, not your problem
o&o, over and out
oaoa, over and over again
oar, on a roll
oaw, on a website
obtw, oh, by the way
ocgg, Oh Crap, gotta go
od, over dose
oday, software illegally obtained before it was released
odg, oh dear God
odtaa, one d**n thing after another
ofcol, oh for crying out loud
ofn, Old f**king News
oftc, out for the count
oftpc, off topic
ofwg, old fat white guys
oh noes, oh s**t!
oh noez, Oh no!
ohic, oh I see
ohn, oh hell no
ohnoez, Oh no
ohy, oh hell yeah
oic, oh, I see
oicic, oh i see i see
oicu, oh, i see you!
oicwydt, oh, i see what you did there
oidia, oops i did it again
oink, Oh I Never Knew
oiyd, Only In Your Dreams
ojsu, Oh, just shut up!
oll, online love
olpc, One Laptop Per Child
omdg, oh my dear god
omdz, Oh My Days 
omfd, oh my f**king days
omfg, oh my f**king god
omfgn, Oh my f**king god noob
omfgsh, Oh My f**king Gosh
omfj, oh my f**king jesus
omfl, oh my f**king internet connection is slow
omfsm, Oh My Flying Spaghetti Monster
omfwtg, Oh My f**k What The God?
omg, oh my God
omg's, oh my god's
omgd, Oh my gosh dude
omgf, oh my god...f**k!
omgg, Oh my gosh girl
omgicfbi, Oh my god I can't f**king believe it
omgih, Oh My God In Heaven
omgihv2p, oh my god i have to pee
omginbd, Oh my God, It's no big deal
omgn, oh my goodness
omgny, oh my god no way
omgosh, Oh my gosh
omgroflmao, oh my god roll on the floor laughing my a** off
omgsh, oh my gosh
omgty, Oh my god thank you
omgukk, oh my god you killed kenny
omgwtf, on my God, what the f**k
omgwtfbbq, oh my God, what the f**k
omgwtfhax, Oh My God What The f**k, Hacks!
omgwtfit, Oh my God, what the f**k is that
omgwtfnipples, on my God, what the f**k
omgyg2bk, oh my god you got to be kidding
omgykkyb, oh my god you killed kenny you b*****ds
omgz, oh my God
omgzors, oh my god
omhg, oh my hell god
omj, oh my jesus
ommfg, oh my mother f**king god
omt, one more time
omw, on my way
omwh, on my way home
omwts, on my way to school
omy, oh my!
onoez, oh no
onoz, oh no
onud, oh no you didn't
onyd, oh no you didn't
oobl, out of breath laughing
ooc, out of character
oohm, out of his/her mind
oom, Out of mana
ooym, out of your mind
orlsx, oral sex
orly, Oh Really
orly, oh really?
osbutctt, only sad b*****ds use this crappy text talk
osifgt, oh s**t i forgot
oslt, or something like that
osy, oh screw you
ot, off topic
otc, off the chain
otfcu, on the floor cracking up
otfl, on the floor laughing
otflmao, On the floor laughing my a** off
otflmfao, On the floor laughing my f**king a** off
otflol, on the floor laughing out loud
otfp, on the f**king phone
otft, over the f**king top
orgy, orgasm
otl, out to lunch
otoh, on the other hand
otp, on the phone
ots, over the shoulder
ott, over the top
otw, on the way
oways, oh wow are you serious
owned, made to look bad
ownt, made to look bad
oww, Oops, wrong window
oyfe, Open Your f**king Eyes
oyid, oh yes i did
oyo, on your own
oyr, Oh Yeah Right
p-nis, penis
p.o.b., Parent Over Back
p.o.s, parent over shoulder
p.o.s., parent over shoulder
p/oed, pissed off
p33n, penis
p3n0r, penis
p3n15, penis
p3n1s, penis
p4p, pic for pic
p911, parent emergency (parent near)
p@w, parents are watching
pach, parents are coming home
pachs, parents are coming home soon
pae, Pimpin aint easy
pag, Parents Are Gone
pah, parents at home
pas, parent at side
pasii, put a sock in it
patd, Panic At The Disco
paw, parents are watching
pbb, parent behind back
pbcakb, problem between chair and keyboard
pbkc, Problem between keyboard & chair
pbm, parent behind me
pbp, Please Be Patient
pcm, please call me
pco, please come over
pcrs, Parents can read slang
pda, public display of affection
pdg, pretty d**n good
pdq, pretty d**n quick
peanus, penis
pearoast, repost
pebcak, Problem Exists Between Chair and Keyboard
pebkac, problem exists between keyboard and chair
pebmac, Problem Exist Between monitor and chair
peep dis, check out what I'm telling you
pen0r, Penis
pen15, penis
penor, penis
perv, pervert
pewp, poop
pex, Please explain?
pfa, Please Find Attached
pfm, Please forgive me
pfo, please f**k off
pfos, parental figure over sholder
pfy, pimply faced youth
phag, f**
phat, pretty hot and tasty
phlr, peace hugs love respect
phm, please help me
phq, f**k you
phreak, freak
phuck, f**k
phucker, f**ker
phuk, f**k
phux, f**k
phuxor, f**k
piab, panties in a bunch
pihb, pee in his/her butt
piihb, put it in her butt
piitb, put it in the butt
pima, Pain in my a**
pimfa, pain in my f**king a**
pimha, Pain in my hairy a**
pimpl, pissing in my pants laughing
pir, parents in room
pirlos, parent in room looking over shoulder
pita, pain in the a**
pitfa, Pain In The f**king a**
pitr, parent in the room
pitrtul, parents in the room text you later
piw, Parent is watching
pl, parent looking
plac, parent looking at computer
plams, parents looking at my screen
plars, party like a rock star
platcs, parent looking at the computer screen
plma, please leave me alone 
plmk, please let me know
plom, parents looking over me
plomb, parents looking over my back
ploms, parent looking over my shoulder
plos, Parents Looking Over Shoulder
plywm, play with me
plzkthx, Please? OK, Thank you
plzthx, please? Thanks
pmfji, Pardon me for jumping in
pmfsl, piss my f**king self laughing
pmg, oh my God
pmita, pound me in the a**
pmitap, pound me in the a** prison
pml, pissing myself laughing
pmo, pissing me off
pmp, pissing my pants
pmpl, piss my pants laughing
pmsfl, Pissed Myself f**king Laughing
pmsl, piss my self laughing
pnbf, Potential new boy friend
pnhlgd, parents not home, let's get dirty
pns, penis
pnus, penis
po, piss off
po'd, pissed off
pob, parent over back
poc, Piece of crap
poed, pissed off
poets, piss off early, tomorrow's Saturday
poidnh, Pics or it did not happen 
pol, parent over looking
poms, parent over my shoulder
poontang, female genitalia
poq, Piss Off Quick
pos, Parent Over Shoulder
poscs, parents over sholder change subject
posmbri, parent over shoulder might be reading it
pp, pee pee
ppor, post proof or recant
ppppppp, Prior Proper Planning Prevents Piss Poor Performance
pr0n, porn
pr0nz, pornprn, porn
preggers, pregnant
prego, Pregnant
prnoscrn, porn on screen
pron, porn
prvrt, pervert
prw, parents are watching
psbms, parent standing by my side
psos, parent standing over sholder
pssy, p***y
pst, please send tell
ptbb, pa** the barf bag
ptfo, passed the f**k out
pthc, preteen hardcore
ptl, Praise the Lord
pto, Personal Time Off 
pvt, pervert
pw, parent watching
pwb, p***y whipped b***h
pwcb, parents watching close by
pwn, made to look bad
